/* alpha tx ty tz*/
0.535355 -0.043447 -0.029548 0.153940 
0.528000 -0.043557 -0.029572 0.152552 
0.526385 -0.043595 -0.029566 0.152209 
0.526104 -0.043576 -0.029567 0.152096 
0.527204 -0.043572 -0.029560 0.152455 
0.526740 -0.043585 -0.029568 0.152260 
0.526294 -0.043577 -0.029566 0.152147 
0.526395 -0.043601 -0.029557 0.152345 
0.527016 -0.043590 -0.029564 0.152330 
0.526593 -0.043587 -0.029557 0.152279 
0.526007 -0.043565 -0.029562 0.152015 
0.526628 -0.043571 -0.029562 0.152192 
0.527237 -0.043556 -0.029562 0.152278 
0.526182 -0.043583 -0.029560 0.152173 
0.526223 -0.043592 -0.029569 0.152220 
0.527141 -0.043563 -0.029569 0.152345 
0.526474 -0.043190 -0.029533 0.151183 
0.524766 -0.042428 -0.029252 0.148060 
0.522410 -0.041166 -0.028765 0.143225 
0.517694 -0.039658 -0.028163 0.137444 
0.511964 -0.037922 -0.027430 0.130926 
0.505120 -0.036071 -0.026674 0.124115 
0.494380 -0.034285 -0.025949 0.116847 
0.483515 -0.032253 -0.025139 0.109073 
0.470771 -0.030382 -0.024417 0.101772 
0.456562 -0.028432 -0.023668 0.094352 
0.440120 -0.026655 -0.022889 0.087191 
0.425535 -0.024827 -0.022110 0.080366 
0.409900 -0.023079 -0.021291 0.073907 
0.397136 -0.021404 -0.020546 0.068129 
0.382310 -0.019837 -0.019825 0.062438 
0.369169 -0.018337 -0.019113 0.057425 
0.356598 -0.016901 -0.018359 0.052812 
0.343750 -0.015584 -0.017571 0.048466 
0.332313 -0.014320 -0.016832 0.044607 
0.320371 -0.013192 -0.016151 0.040898 
0.308924 -0.012121 -0.015493 0.037729 
0.297762 -0.011130 -0.014888 0.034419 
0.287629 -0.010204 -0.014272 0.031827 
0.277885 -0.009378 -0.013659 0.029475 
0.267968 -0.008635 -0.013019 0.027438 
0.258459 -0.007908 -0.012371 0.025186 
0.249635 -0.007268 -0.011769 0.023317 
0.241091 -0.006687 -0.011183 0.021492 
0.232945 -0.006114 -0.010618 0.019961 
0.224095 -0.005715 -0.010060 0.018543 
0.217108 -0.005206 -0.009562 0.017279 
0.209013 -0.004821 -0.009059 0.016011 
0.201991 -0.004450 -0.008570 0.015020 
0.194101 -0.004152 -0.008147 0.013845 
0.187420 -0.003856 -0.007688 0.012980 
0.180200 -0.003611 -0.007259 0.012089 
0.174081 -0.003351 -0.006833 0.011295 
0.167662 -0.003160 -0.006456 0.010378 
0.162187 -0.002962 -0.006044 0.009853 
0.157569 -0.002717 -0.005706 0.009319 
0.152640 -0.002537 -0.005371 0.008592 
0.146966 -0.002399 -0.005051 0.008190 
0.143360 -0.002230 -0.004754 0.007700 
0.139302 -0.002056 -0.004467 0.007385 
0.136634 -0.001882 -0.004190 0.007167 
0.131809 -0.001795 -0.003894 0.006797 
0.127121 -0.001692 -0.003622 0.006436 
0.122737 -0.001620 -0.003378 0.006077 
0.118521 -0.001553 -0.003138 0.005634 
0.114375 -0.001519 -0.002918 0.005420 
0.110450 -0.001464 -0.002716 0.005059 
0.106752 -0.001420 -0.002525 0.004707 
0.103306 -0.001411 -0.002352 0.004504 
0.099568 -0.001352 -0.002181 0.004164 
0.096018 -0.001296 -0.002007 0.003937 
0.092763 -0.001287 -0.001857 0.003761 
0.089791 -0.001259 -0.001714 0.003484 
0.086365 -0.001249 -0.001592 0.003302 
0.083360 -0.001201 -0.001447 0.003138 
0.080586 -0.001193 -0.001330 0.002949 
0.077720 -0.001173 -0.001212 0.002769 
0.074926 -0.001146 -0.001120 0.002668 
0.072408 -0.001118 -0.001003 0.002451 
0.069921 -0.001107 -0.000929 0.002317 
0.067432 -0.001074 -0.000846 0.002202 
0.065071 -0.001068 -0.000780 0.002095 
0.062988 -0.001045 -0.000704 0.002004 
0.060941 -0.001025 -0.000626 0.001885 
0.058766 -0.001010 -0.000577 0.001794 
0.056733 -0.000991 -0.000513 0.001682 
0.054786 -0.000983 -0.000468 0.001591 
0.052887 -0.000971 -0.000416 0.001522 
0.051045 -0.000954 -0.000384 0.001404 
0.049209 -0.000942 -0.000341 0.001342 
0.047446 -0.000924 -0.000301 0.001278 
0.045864 -0.000913 -0.000269 0.001213 
0.044126 -0.000881 -0.000244 0.001112 
0.042541 -0.000879 -0.000205 0.001064 
0.041014 -0.000851 -0.000178 0.000993 
0.039646 -0.000838 -0.000154 0.000891 
0.038344 -0.000828 -0.000143 0.000882 
0.036885 -0.000813 -0.000115 0.000850 
0.035602 -0.000793 -0.000109 0.000773 
0.034317 -0.000774 -0.000079 0.000749 
0.033133 -0.000745 -0.000065 0.000734 
0.032061 -0.000742 -0.000049 0.000699 
0.030903 -0.000735 -0.000033 0.000653 
0.029880 -0.000706 -0.000031 0.000595 
0.028876 -0.000702 -0.000017 0.000604 
0.027780 -0.000692 -0.000009 0.000553 
0.026763 -0.000667 0.000001 0.000530 
0.025856 -0.000662 0.000017 0.000487 
0.024799 -0.000635 0.000026 0.000424 
0.023929 -0.000609 0.000034 0.000410 
0.023115 -0.000606 0.000041 0.000376 
0.022271 -0.000574 0.000048 0.000391 
0.021446 -0.000570 0.000058 0.000391 
0.020707 -0.000560 0.000059 0.000374 
0.019870 -0.000549 0.000055 0.000306 
0.019285 -0.000520 0.000061 0.000294 
0.018528 -0.000510 0.000063 0.000281 
0.017804 -0.000501 0.000066 0.000272 
0.017148 -0.000498 0.000072 0.000265 
0.016606 -0.000478 0.000073 0.000235 
0.016000 -0.000464 0.000078 0.000226 
0.015482 -0.000447 0.000083 0.000230 
0.014913 -0.000438 0.000091 0.000239 
0.014268 -0.000430 0.000097 0.000232 
0.013767 -0.000412 0.000099 0.000223 
0.013196 -0.000396 0.000094 0.000163 
0.012602 -0.000382 0.000096 0.000167 
0.012248 -0.000364 0.000100 0.000199 
0.011832 -0.000349 0.000098 0.000172 
0.011374 -0.000355 0.000095 0.000145 
0.011023 -0.000342 0.000098 0.000149 
0.010658 -0.000338 0.000099 0.000135 
0.010228 -0.000332 0.000101 0.000138 
0.009852 -0.000323 0.000096 0.000101 
0.009473 -0.000310 0.000091 0.000115 
0.009163 -0.000298 0.000086 0.000120 
